3,2,6,0,9,10,5,6,11,6,9,12,10,12,11,8,9,5,6,12,10,1,5,6,7,1,5,8,7,11,13,11,13,14,9,9,7,5,2,3,4,10,11,0,1,2
1,4,2,1,3,9,10,9,9,6,9,12,9,9,11,8,8,6,12,14,8,4,14,3,17,7,5,7,6,10,13,7,10,14,9,8,7,6,4,5,4,9,11,4,0,1
0,3,1,1,1,10,12,10,8,6,11,12,8,9,11,8,9,12,27,129,163,31,116,161,76,12,11,8,8,9,11,8,9,10,10,8,5,5,6,6,4,8,9,5,1,1
0,0,2,3,3,8,11,9,9,8,12,12,8,10,9,8,11,14,226,456,314,51,166,382,366,113,1,11,11,9,11,12,10,8,10,7,4,4,6,6,3,8,9,4,2,5
0,2,1,6,4,6,8,8,11,10,12,12,7,8,9,9,17,26,525,665,201,8,64,278,493,413,159,2,14,11,12,14,9,7,10,7,6,3,6,8,2,8,11,4,0,5
2,0,2,4,5,7,6,8,11,9,12,12,6,6,10,9,31,152,735,606,17,44,1,31,249,593,492,87,25,12,12,12,7,7,9,9,10,2,4,8,3,9,13,5,2,5
6,3,4,0,5,8,7,8,8,8,13,12,8,7,8,8,41,330,816,436,44,46,2,7,24,501,726,224,28,14,13,10,6,9,8,8,9,3,3,4,4,10,14,7,1,7
7,5,2,2,2,7,9,9,5,8,15,13,11,7,4,10,23,507,810,191,76,31,101,199,74,177,603,331,80,2,22,13,7,9,8,6,4,4,5,2,4,9,13,8,1,8
5,6,0,1,1,6,10,10,5,9,16,16,15,7,2,18,38,665,746,158,200,135,276,341,195,133,223,302,234,81,19,3,9,8,9,8,3,3,4,1,4,10,12,7,3,8
4,5,2,0,4,7,9,9,7,10,19,11,14,10,4,15,170,717,567,397,395,73,287,219,239,221,25,191,164,131,153,50,11,8,11,10,4,2,1,0,4,13,11,5,5,8
3,4,4,1,6,7,8,8,9,13,5,141,189,39,8,15,260,481,166,336,403,174,211,89,215,281,21,176,29,72,224,102,25,10,13,8,3,2,2,2,2,11,10,5,7,8
1,4,2,2,5,5,6,9,12,27,108,465,370,14,11,35,189,55,309,154,75,313,254,16,201,269,1,126,21,69,153,133,78,8,9,5,1,2,6,5,2,5,11,8,7,7
2,4,1,1,4,4,3,11,23,5,353,626,277,34,12,23,105,156,597,146,343,121,362,95,132,243,97,44,146,175,106,50,11,69,44,9,1,3,8,5,4,2,12,10,5,5
5,4,2,0,4,4,4,19,9,211,552,441,82,24,13,1,84,91,661,328,525,254,380,411,26,372,185,87,195,203,142,94,79,221,125,18,4,4,6,3,3,4,12,8,3,5
5,4,1,1,4,5,15,3,172,477,458,147,18,10,14,19,58,3,570,432,487,482,339,713,38,479,155,134,66,117,239,35,47,223,109,17,5,3,3,1,1,7,11,5,1,7
4,4,1,3,5,13,8,168,463,467,170,2,18,16,14,39,5,42,400,308,400,405,307,820,132,474,150,104,86,7,419,225,18,63,23,8,3,2,2,0,1,6,10,5,0,7
4,4,3,3,10,19,141,456,481,212,17,5,16,1,14,47,36,73,263,178,291,161,248,663,238,315,122,78,250,149,544,394,25,15,10,3,2,2,2,1,3,2,10,7,1,5
4,3,4,1,22,77,426,519,203,32,20,26,21,6,13,32,29,84,180,144,130,65,110,377,313,26,88,70,444,263,523,344,25,10,5,2,3,2,2,3,3,1,8,7,3,5
4,1,3,12,20,333,561,286,14,5,27,51,27,6,13,19,4,62,93,106,87,107,137,273,526,224,188,46,613,189,534,230,28,8,4,4,5,3,2,3,1,1,6,5,3,6
4,1,1,17,207,569,419,69,3,5,14,33,12,10,12,15,34,40,31,153,195,81,256,277,717,381,100,249,669,72,585,134,24,4,4,6,4,4,3,0,1,3,6,4,1,5
4,3,3,21,469,614,175,3,8,25,19,5,21,9,8,6,30,28,73,231,46,224,166,155,571,365,48,283,344,409,460,26,15,3,4,4,1,4,5,2,1,6,5,2,1,5
3,4,9,73,637,578,6,21,6,22,41,4,31,2,9,5,23,31,188,105,156,133,90,46,277,142,16,140,158,645,314,35,10,6,4,2,1,3,2,9,2,12,4,1,2,7
1,4,8,57,608,635,47,61,21,10,24,7,5,26,11,1,14,139,152,124,155,5,82,74,244,39,108,166,206,723,395,31,11,8,4,2,2,12,16,30,14,21,4,1,0,7
0,4,0,4,371,690,326,33,50,33,30,25,4,41,44,27,75,116,17,167,32,32,92,93,369,199,96,371,27,731,493,16,13,7,3,1,2,27,42,42,41,19,4,1,2,5
1,3,4,10,101,518,604,183,31,32,46,58,25,17,2,92,27,76,82,62,28,10,105,75,322,202,7,297,54,689,356,19,12,5,2,0,5,16,12,31,16,20,3,2,1,4
2,2,4,2,10,195,581,517,119,23,17,48,51,29,114,190,21,227,131,7,36,28,120,114,255,49,34,64,378,603,145,27,7,4,4,0,9,8,47,22,38,32,1,1,0,6
1,2,5,2,10,3,376,736,336,35,12,24,44,51,166,237,28,235,196,4,18,84,118,173,356,142,211,146,482,563,120,30,4,4,6,0,10,14,66,23,56,37,1,1,0,7
2,2,7,5,4,42,322,790,394,54,36,31,34,19,114,210,67,166,162,12,2,99,122,188,464,339,148,288,171,495,256,29,6,4,5,0,9,12,63,26,52,38,4,2,0,3
4,3,7,5,2,40,412,791,313,44,38,45,39,17,31,167,96,71,82,51,103,61,224,56,456,446,134,229,288,291,421,1,12,4,3,0,7,13,60,29,48,42,6,8,10,7
1,4,5,4,1,20,512,757,206,14,1,23,52,16,3,87,99,20,20,75,313,395,353,231,374,487,252,119,507,23,527,98,26,16,6,0,7,15,57,29,45,43,4,24,27,16
